"Quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","chlorides"
"Low",8.4,0.35,0.71,12.2,22,160,0.9982,2.98,0.65,9.4,"Little"
"Low",5.9,0.21,0.24,12.1,53,165,0.9969,3.25,0.39,9.5,"Little"
"High",6.7,0.21,0.42,9.1,31,150,0.9953,3.12,0.74,9.9,"Little"
"Low",5.9,0.37,0.1,1.6,39,128,0.9924,3.24,0.48,10.1,"Lots"
"High",7.4,0.3,0.22,1.4,16,135,0.9928,3.08,0.77,10.4,"Little"
"Low",6.8,0.51,0.3,4.2,38,165,0.9945,3.2,0.42,9.1,"Lots"
"Low",6,0.26,0.5,2.2,59,153,0.9928,3.08,0.61,9.8,"Little"
"Low",7.4,0.41,0.66,10.8,77,194,0.9976,3.05,0.46,8.7,"Lots"
"High",6.5,0.28,0.29,2.7,26,107,0.9912,3.32,0.41,11.6,"Little"
"Low",6.7,0.34,0.54,16.3,44,181,0.9987,3.04,0.56,8.8,"Little"
"High",7.2,0.2,0.34,2.7,49,151,0.99,3.16,0.39,12.7,"Little"
"High",7.4,0.2,0.33,1.9,39,138,0.991,3.17,0.44,11.7,"Little"
"High",7.1,0.22,0.33,2.8,48,153,0.9899,3.15,0.38,12.7,"Little"
"High",6.5,0.28,0.29,2.7,26,107,0.9912,3.32,0.41,11.6,"Little"
"High",6,0.38,0.26,6,42,134,0.9912,3.38,0.38,12.3,"Little"
"Low",7.4,0.41,0.66,10.8,77,194,0.9976,3.05,0.46,8.7,"Lots"
"Low",5.7,0.18,0.22,4.2,25,111,0.994,3.35,0.39,9.4,"Little"
"High",6.6,0.25,0.3,1.6,32,134,0.993,3.42,0.51,10.1,"Little"
"High",6.1,0.32,0.25,1.7,37,136,0.992,3.47,0.5,10.8,"Little"
"High",6.9,0.28,0.27,2.1,42,121,0.9926,3.42,0.49,10.8,"Little"
"Low",7.1,0.31,0.5,14.5,6,148,0.9983,2.94,0.44,9.1,"Lots"
"Low",6.9,0.41,0.33,10.1,28,152,0.9968,3.2,0.52,9.4,"Little"
"Low",6.4,0.45,0.07,1.1,10,131,0.9905,2.97,0.28,10.8,"Little"
"Low",6.4,0.475,0.06,1,9,131,0.9904,2.97,0.29,10.8,"Little"
"High",6.3,0.27,0.38,0.9,7,140,0.9926,3.45,0.5,10.5,"Lots"
"Low",6.9,0.41,0.33,10.1,28,152,0.9968,3.2,0.52,9.4,"Little"
"High",5.9,0.27,0.29,11.4,31,115,0.9949,3.35,0.48,10.5,"Little"
"High",6.9,0.19,0.4,1.4,14,55,0.9909,3.08,0.68,11.5,"Little"
"Low",6.4,0.45,0.07,1.1,10,131,0.9905,2.97,0.28,10.8,"Little"
"Low",6.4,0.475,0.06,1,9,131,0.9904,2.97,0.29,10.8,"Little"
"Low",7.3,0.25,0.29,7.5,38,158,0.9965,3.43,0.38,9.6,"Little"
"Low",7.3,0.25,0.29,7.5,38,158,0.9965,3.43,0.38,9.6,"Little"
"Low",6.1,0.28,0.25,17.75,48,161,0.9993,3.34,0.48,9.5,"Little"
"High",6.5,0.36,0.28,3.2,29,119,0.9908,3.25,0.65,12.4,"Little"
"Low",7.5,0.23,0.68,11,37,133,0.9978,2.99,0.38,8.8,"Little"
"Low",7.5,0.21,0.68,10.9,38,133,0.9978,3,0.36,8.7,"Little"
"Low",7.5,0.21,0.68,10.9,38,133,0.9978,3,0.36,8.7,"Little"
"Low",7.5,0.23,0.68,11,37,133,0.9978,2.99,0.38,8.8,"Little"
"High",7.8,0.32,0.33,2.4,18,101,0.9912,3.21,0.65,11.7,"Little"
"Low",6.5,0.46,0.41,16.8,59,222,0.9993,3.18,0.58,9,"Lots"
"Low",6.5,0.26,0.43,8.9,50,171,0.9965,2.85,0.5,9,"Lots"
"Low",7.2,0.24,0.34,1.1,3,64,0.9913,3.23,0.51,11.4,"Little"
"Low",6,0.36,0.06,1.4,27,128,0.9934,3.26,0.55,9.3,"Lots"
"High",6.2,0.24,0.29,13.3,49,130,0.9952,3.33,0.46,11,"Little"
"Low",7.6,0.56,0.12,10.4,22,177,0.9983,3.32,0.45,9.1,"Lots"
"Low",7,0.23,0.42,18.05,35,144,0.9999,3.22,0.42,8.8,"Lots"
"Low",7,0.23,0.42,18.05,35,144,0.9999,3.22,0.42,8.8,"Lots"
"Low",6,0.29,0.2,12.6,45,187,0.9972,3.33,0.42,9.5,"Little"
"High",6.2,0.17,0.28,4.7,39,133,0.9931,3.41,0.46,10.8,"Little"
"Low",7.4,0.28,0.25,11.9,25,148,0.9976,3.1,0.62,9.2,"Lots"
"Low",5.6,0.35,0.14,5,48,198,0.9937,3.3,0.71,10.3,"Little"
"Low",5.8,0.335,0.14,5.8,49,197,0.9937,3.3,0.71,10.3,"Little"
"High",5.6,0.235,0.29,1.2,33,127,0.991,3.34,0.5,11,"Little"
"Low",6.1,0.28,0.25,12.9,34,189,0.9979,3.25,0.43,9,"Lots"
"Low",6.4,0.24,0.28,11.5,34,163,0.9969,3.31,0.45,9.5,"Lots"
"Low",6.4,0.24,0.29,11.4,32,166,0.9968,3.31,0.45,9.5,"Lots"
"Low",6.3,0.26,0.25,7.8,44,166,0.9961,3.24,0.41,9,"Lots"
"Low",6.5,0.33,0.72,1.1,7,151,0.993,3.09,0.57,9.5,"Lots"
"Low",6,0.32,0.12,5.9,34,190,0.9944,3.16,0.72,10,"Little"
"High",7.1,0.26,0.34,14.4,35,189,0.9986,3.07,0.53,9.1,"Lots"
"High",7.1,0.26,0.34,14.4,35,189,0.9986,3.07,0.53,9.1,"Lots"
"High",7.1,0.26,0.34,14.4,35,189,0.9986,3.07,0.53,9.1,"Lots"
"High",7.1,0.26,0.34,14.4,35,189,0.9986,3.07,0.53,9.1,"Lots"
"High",6.5,0.21,0.37,2.5,70,138,0.9917,3.33,0.75,11.4,"Little"
"Low",7.3,0.34,0.21,3.2,14,136,0.9936,3.25,0.44,10.2,"Lots"
"Low",6.6,0.27,0.25,3.1,41,188,0.9915,3.24,0.4,11.3,"Lots"
"Low",6.8,0.29,0.16,1.4,122.5,234.5,0.9922,3.15,0.47,10,"Little"
"Low",7.1,0.28,0.26,1.9,12,86,0.9934,3.15,0.38,9.4,"Little"
"High",6.8,0.25,0.34,14,47,133,0.9952,3.37,0.5,12.2,"Little"
"Low",7,0.57,0.1,8.3,23,188,0.9972,3.4,0.47,9.2,"Lots"
"Low",7.1,0.28,0.26,1.9,12,86,0.9934,3.15,0.38,9.4,"Little"
"Low",7.8,0.28,0.22,1.4,24,130,0.9944,3.28,0.48,9.5,"Lots"
"Low",6.4,0.24,0.5,11.6,60,211,0.9966,3.18,0.57,9.3,"Little"
"High",7.1,0.32,0.34,14.5,46,150,0.995,3.38,0.5,12.5,"Little"
"Low",6.4,0.32,0.5,10.7,57,206,0.9968,3.08,0.6,9.4,"Little"
"High",5.8,0.32,0.38,4.75,23,94,0.991,3.42,0.42,11.8,"Little"
"High",5.8,0.32,0.38,4.75,23,94,0.991,3.42,0.42,11.8,"Little"
"High",5.7,0.32,0.38,4.75,23,94,0.991,3.42,0.42,11.8,"Little"
"Low",6.7,0.28,0.14,1.4,64,159,0.992,3.17,0.39,10,"Little"
"Low",6.8,0.34,0.69,1.3,12,171,0.9931,3.06,0.47,9.7,"Lots"
"Low",6.4,0.27,0.32,4.5,61,174,0.9948,3.12,0.48,9.4,"Lots"
"Low",8.1,0.46,0.31,1.7,50,183,0.9923,3.03,0.42,11.2,"Lots"
"Low",6.2,0.36,0.26,13.2,54,201,0.9976,3.25,0.46,9,"Lots"
"High",6.8,0.22,0.35,5.5,21,114,0.9938,3.3,0.53,10.7,"Little"
"Low",6.8,0.67,0.3,13,22,193,0.9984,3.08,0.67,9,"Lots"
"High",6.7,0.17,0.37,2,34,125,0.9922,3.26,0.6,10.8,"Little"
"Low",6.9,0.2,0.34,1.9,25,136,0.9935,3.31,0.6,10.1,"Little"
"Low",6,0.36,0.16,6.3,36,191,0.9942,3.17,0.62,9.8,"Little"
"Low",5.9,0.37,0.14,6.3,34,185,0.9944,3.17,0.63,9.8,"Little"
"Low",6.3,0.34,0.28,14.7,49,198,0.9977,3.23,0.46,9.5,"Little"
"Low",7.5,0.31,0.51,14.8,62,204,0.9982,3.06,0.6,9.5,"Little"
"Low",7.5,0.31,0.51,14.8,62,204,0.9982,3.06,0.6,9.5,"Little"
"Low",7.4,0.31,0.48,14.2,62,204,0.9983,3.06,0.59,9.4,"Little"
"Low",8.4,0.4,0.7,13.1,29,197,0.998,3.06,0.64,9.7,"Little"
"High",5.9,0.34,0.22,2.4,19,135,0.9894,3.41,0.78,13.9,"Little"
"Low",6.6,0.38,0.18,1.2,20,84,0.9927,3.22,0.45,10.1,"Little"
"Low",8.6,0.27,0.46,6.1,13,41,0.993,2.89,0.34,10.9,"Little"
"Low",6.2,0.31,0.21,6.3,50,218,0.9941,3.15,0.6,10,"Little"
"Low",6.2,0.47,0.21,1,13,98,0.99345,3.14,0.46,9.2,"Little"
"Low",6.1,0.25,0.24,12.1,51,172,0.998,3.35,0.45,9.5,"Little"
"Low",6.4,0.31,0.39,7.5,57,213,0.99475,3.32,0.43,10,"Little"
"High",6.2,0.21,0.27,1.7,41,150,0.9933,3.49,0.71,10.5,"Little"
"Low",7,0.27,0.41,18.75,34,157,1.0002,2.96,0.5,9.1,"Little"
"High",6.2,0.21,0.27,1.7,41,150,0.9933,3.49,0.71,10.5,"Little"
"High",7.4,0.29,0.5,1.8,35,127,0.9937,3.45,0.5,10.2,"Little"
"Low",6.6,0.29,0.44,9,62,178,0.99685,3.02,0.45,8.9,"Lots"
"Low",6,0.3,0.44,1.5,15,182,0.99455,3.5,0.52,10.4,"Little"
"High",6.6,0.33,0.31,1.3,29,89,0.99035,3.26,0.44,12.4,"Little"
"High",7.8,0.3,0.4,1.8,23,122,0.9914,3.14,0.39,10.9,"Little"
"Low",6.4,0.39,0.21,1.2,35,136,0.99225,3.15,0.46,10.2,"Little"
"High",6.4,0.24,0.31,2.8,41,114,0.99155,3.37,0.66,11.7,"Little"
"Low",7,0.21,0.34,8,19,101,0.9954,2.99,0.59,9.4,"Lots"
"Low",6.4,0.16,0.31,5.3,42,157,0.99455,3.35,0.47,10.5,"Little"
"Low",6,0.33,0.27,0.8,12,188,0.9924,3.12,0.62,9.4,"Lots"
"High",8.8,0.28,0.45,6,14,49,0.9934,3.01,0.33,11.1,"Little"
"Low",6.9,0.38,0.25,9.8,28,191,0.9971,3.28,0.61,9.2,"Little"
"Low",6.9,0.38,0.25,9.8,28,191,0.9971,3.28,0.61,9.2,"Little"
"High",7.1,0.21,0.31,3.8,40,142,0.99215,3.17,0.39,10.8,"Little"
"Low",6.9,0.39,0.4,4.6,5,19,0.9915,3.31,0.37,12.6,"Little"
"Low",5.9,0.26,0.25,12.5,38,152,0.9977,3.33,0.43,9.4,"Little"
"Low",7.4,0.38,0.27,7.5,24,160,0.99535,3.17,0.43,10,"Little"
"Low",5.9,0.35,0.47,2.2,14,138,0.9932,3.09,0.5,9.1,"Lots"
"High",7.1,0.28,0.44,1.8,32,107,0.9907,3.25,0.48,12.2,"Little"
"Low",5.8,0.25,0.28,11.1,45,175,0.99755,3.42,0.43,9.5,"Lots"
"High",7.1,0.14,0.4,1.2,55,136,0.9932,3.3,0.96,9.8,"Lots"
"High",7.1,0.13,0.4,1.2,54,134,0.9932,3.3,0.97,9.8,"Little"
"Low",6.8,0.24,0.49,19.3,55,247,1.00055,3,0.56,8.7,"Lots"
"Low",6.7,0.5,0.63,13.4,81,238,0.9988,3.08,0.44,9.2,"Lots"
"High",6.7,0.11,0.34,8.8,41,113,0.9962,3.42,0.4,9.3,"Little"
"High",6.7,0.11,0.34,8.8,41,113,0.9962,3.42,0.4,9.3,"Little"
"High",6.8,0.12,0.31,5.2,29,120,0.9942,3.41,0.46,9.8,"Little"
"High",6.6,0.16,0.57,1.1,58,140,0.9927,3.12,0.39,9.3,"Lots"
"High",6.6,0.21,0.6,1.1,61,144,0.9927,3.12,0.39,9.3,"Lots"
"Low",6.1,0.27,0.3,16.7,49,172,0.99985,3.4,0.45,9.4,"Little"
"High",9.1,0.27,0.45,10.6,28,124,0.997,3.2,0.46,10.4,"Little"
"Low",7.2,0.23,0.19,13.7,47,197,0.99865,3.12,0.53,9,"Lots"
"High",6.9,0.22,0.37,15,59,178,0.9992,3.37,0.82,9.5,"Lots"
"High",8.1,0.17,0.44,14.1,43,145,1.0006,3.28,0.75,8.8,"Lots"
"Low",6,0.395,0,1.4,7,55,0.99135,3.37,0.38,11.2,"Little"
"High",6.9,0.22,0.37,15,59,178,0.9992,3.37,0.82,9.5,"Lots"
"High",8.1,0.17,0.44,14.1,43,145,1.0006,3.28,0.75,8.8,"Lots"
"Low",7.2,0.23,0.19,13.7,47,197,0.99865,3.12,0.53,9,"Lots"
"High",5.8,0.34,0.16,7,26,116,0.9949,3.46,0.45,10,"Little"
"High",5.9,0.24,0.3,2,28,92,0.99225,3.39,0.69,10.9,"Little"
"Low",6.4,0.46,0.08,4.9,34,144,0.99445,3.1,0.56,10,"Little"
"High",5.9,0.24,0.3,2,28,92,0.99225,3.39,0.69,10.9,"Little"
"Low",7.4,0.32,0.27,1.4,38,173,0.99335,3.03,0.52,9.3,"Little"
"Low",7.2,0.31,0.26,7.3,37,157,0.99625,3.09,0.43,9,"Lots"
"High",6,0.18,0.31,1.4,14,75,0.99085,3.34,0.58,11.1,"Little"
"Low",6,0.28,0.49,6.8,61,222,0.9953,3.19,0.47,9.3,"Little"
"Low",6.8,0.39,0.35,11.6,57,220,0.99775,3.07,0.53,9.3,"Little"
"High",6.6,0.21,0.31,11.4,46,165,0.99795,3.41,0.44,9.8,"Little"
"Low",6.4,0.31,0.26,13.2,57,205,0.9975,3.17,0.41,9.6,"Little"
"Low",6,0.28,0.49,6.8,61,222,0.9953,3.19,0.47,9.3,"Little"
"High",6.4,0.35,0.28,1.1,9,160,0.99405,3.42,0.5,9.1,"Lots"
"Low",6.2,0.3,0.17,2.8,24,125,0.9939,3.01,0.46,9,"Little"
"Low",8.4,0.18,0.42,5.1,7,77,0.9939,3.16,0.52,11.7,"Little"
"Low",6.6,0.56,0.22,8.9,27,133,0.99675,3.2,0.51,9.1,"Little"
"Low",6.2,0.3,0.17,2.8,24,125,0.9939,3.01,0.46,9,"Little"
"Low",6.6,0.56,0.22,8.9,27,133,0.99675,3.2,0.51,9.1,"Little"
"High",6.6,0.36,0.29,1.6,24,85,0.98965,3.41,0.61,12.4,"Little"
"Low",6.8,0.18,0.21,5.4,34,104,0.99445,3.3,0.43,9.4,"Lots"
"Low",8.4,0.18,0.42,5.1,7,77,0.9939,3.16,0.52,11.7,"Little"
"High",7.4,0.24,0.36,2,27,139,0.99055,3.28,0.48,12.5,"Little"
"High",7.1,0.16,0.36,10.7,20,90,0.9959,3.16,0.44,10.9,"Little"
"High",7.1,0.16,0.36,1.2,21,90,0.9925,3.16,0.42,11,"Little"
"Low",7.4,0.17,0.4,5.5,34,161,0.9935,3.05,0.62,11.5,"Little"
"High",7.3,0.3,0.34,2.7,34,108,0.99105,3.36,0.53,12.8,"Little"
"High",7.5,0.42,0.34,4.3,34,108,0.99155,3.14,0.45,12.8,"Little"
"High",7.3,0.25,0.36,2.1,30,177,0.99085,3.25,0.4,11.9,"Little"
"High",7.3,0.25,0.36,2.1,30,177,0.99085,3.25,0.4,11.9,"Little"
"High",7.3,0.25,0.36,2.1,30,177,0.99085,3.25,0.4,11.9,"Little"
"High",7.5,0.34,0.35,6,12,126,0.9924,3.16,0.39,12,"Little"
"High",7.6,0.33,0.35,6.3,12,126,0.9924,3.16,0.39,12,"Little"
"High",8.7,0.23,0.32,13.4,35,169,0.99975,3.12,0.47,8.8,"Little"
"High",8.7,0.23,0.32,13.4,35,169,0.99975,3.12,0.47,8.8,"Little"
"High",6.9,0.19,0.35,1.7,33,101,0.99315,3.21,0.54,10.8,"Little"
"High",7.3,0.21,0.29,1.6,29,118,0.9917,3.3,0.5,11,"Little"
"High",7.3,0.21,0.29,1.6,29,118,0.9917,3.3,0.5,11,"Little"
"Low",6.6,0.22,0.37,15.4,62,153,0.99845,3.02,0.4,9.3,"Little"
"Low",9.2,0.34,0.27,1.2,17,73,0.9921,3.08,0.39,10.8,"Little"
"High",8.7,0.23,0.32,13.4,35,169,0.99975,3.12,0.47,8.8,"Little"
"High",6.9,0.19,0.35,1.7,33,101,0.99315,3.21,0.54,10.8,"Little"
"Low",8.2,0.38,0.49,13.6,58,166,0.99855,3.1,0.54,9.4,"Little"
"High",6.9,0.18,0.36,1.3,40,117,0.9934,3.27,0.95,9.5,"Little"
"Low",7.7,0.34,0.58,11.1,41,151,0.9978,3.06,0.49,8.6,"Little"
"High",6.9,0.18,0.36,1.3,40,117,0.9934,3.27,0.95,9.5,"Little"
"High",7.4,0.2,0.35,2.1,30,116,0.9949,3.49,0.77,10.3,"Little"
"Low",8.2,0.38,0.49,13.6,58,166,0.99855,3.1,0.54,9.4,"Little"
"Low",8.2,0.4,0.48,13.7,59,169,0.9986,3.1,0.52,9.4,"Little"
"High",6.7,0.22,0.39,10.2,60,149,0.99725,3.17,0.54,10,"Little"
"Low",6.6,0.3,0.3,4.8,60,166,0.9946,3.18,0.47,9.4,"Lots"
"High",8.1,0.27,0.35,1.7,38,103,0.99255,3.22,0.63,10.4,"Little"
"High",7.3,0.25,0.42,14.2,57,182,0.9996,3.29,0.75,9.1,"Little"
"Low",4.8,0.33,0,6.5,34,163,0.9937,3.35,0.61,9.9,"Little"
"High",6.9,0.18,0.36,1.3,40,117,0.9934,3.27,0.95,9.5,"Little"
"High",7.8,0.18,0.46,12.6,41,143,1,3.24,0.76,8.5,"Little"
"High",7.3,0.28,0.42,14.4,49,173,0.9994,3.28,0.82,9,"Little"
"Low",6,0.45,0.65,9.7,11,159,0.9956,3.04,0.48,9.4,"Lots"
"Low",7.7,0.34,0.58,11.1,41,151,0.9978,3.06,0.49,8.6,"Little"
"Low",10.3,0.17,0.47,1.4,5,33,0.9939,2.89,0.28,9.6,"Little"
"Low",7.7,0.15,0.29,1.3,10,64,0.9932,3.35,0.39,10.1,"Little"
"High",7.1,0.21,0.32,2.2,28,141,0.993,3.2,0.57,10,"Little"
"High",6.9,0.36,0.34,4.2,57,119,0.9898,3.28,0.36,12.7,"Little"
"High",6.9,0.12,0.36,2.2,18,111,0.9919,3.41,0.82,11.9,"Little"
"High",7.1,0.21,0.32,2.2,28,141,0.993,3.2,0.57,10,"Little"
"High",6.1,0.34,0.27,2.6,20,105,0.9906,3.4,0.67,12.2,"Little"
"High",6.5,0.3,0.32,2,34,90,0.99185,3.37,0.68,11,"Little"
"High",6.5,0.3,0.32,2,34,90,0.99185,3.37,0.68,11,"Little"
"High",5.8,0.26,0.18,1.2,40,114,0.9908,3.42,0.4,11,"Little"
"Low",5.9,0.26,0.3,1,38,114,0.9928,3.58,0.48,9.4,"Little"
"High",7,0.31,0.29,1.4,33,128,0.9896,3.12,0.36,12.2,"Little"
"High",5.8,0.26,0.18,1.2,40,114,0.9908,3.42,0.4,11,"Little"
"High",6.6,0.2,0.38,7.9,30,145,0.9947,3.32,0.56,11,"Lots"
"Low",6.1,0.28,0.35,12.8,63,229,0.9975,3.08,0.4,8.9,"Little"
"High",6.9,0.21,0.28,2.4,49,159,0.9944,3.02,0.47,8.8,"Lots"
"Low",8.4,0.19,0.42,1.6,9,101,0.994,3.06,0.65,11.1,"Little"
"Low",8.3,0.27,0.45,1.3,8,72,0.9944,3.08,0.61,10.3,"Little"
"High",7.1,0.25,0.39,2.1,30,124,0.9908,3.28,0.43,12.2,"Little"
"Low",8,0.23,0.37,9.6,23,159,0.99795,3.32,0.47,9.8,"Lots"
"Low",7.5,0.24,0.31,13,46,217,0.9985,3.08,0.53,8.8,"Little"
"Low",6.3,0.33,0.2,5.8,24,144,0.99425,3.15,0.63,9.9,"Little"
"Low",6.2,0.33,0.19,5.6,22,143,0.99425,3.15,0.63,9.9,"Little"
"Low",6.3,0.34,0.19,5.8,22,145,0.9943,3.15,0.63,9.9,"Little"
"Low",5.8,0.29,0.05,0.8,11,30,0.9924,3.36,0.35,9.2,"Little"
"Low",8,0.32,0.26,1.2,11.5,88,0.9946,3.24,0.37,9.5,"Lots"
"Low",5.6,0.29,0.05,0.8,11,30,0.9924,3.36,0.35,9.2,"Little"
"High",7.4,0.13,0.39,4.7,36,137,0.995,3.36,0.56,10.3,"Little"
"High",8.6,0.18,0.4,1.1,20,107,0.9923,2.94,0.32,10.2,"Little"
"High",7,0.11,0.32,4.6,59,144,0.9956,3.55,0.44,9.4,"Lots"
"High",7.9,0.28,0.41,2,50,152,0.9934,3.45,0.49,10.7,"Little"
"Low",6.3,0.27,0.23,2.9,13,100,0.9936,3.28,0.43,9.8,"Little"
"Low",5.4,0.595,0.1,2.8,26,80,0.9932,3.36,0.38,9.3,"Little"
"High",6.7,0.25,0.33,2.9,52,173,0.9934,3.02,0.48,9.5,"Lots"
"Low",6.5,0.25,0.35,12,47,179,0.998,3.58,0.47,10,"Lots"
"Low",6.1,0.36,0.58,15,42,115,0.9978,3.15,0.51,9,"Little"
"High",7.7,0.17,0.52,5.9,21,84,0.9929,3.14,0.4,11.9,"Little"
"Low",6.4,0.26,0.43,12.6,64,230,0.9974,3.08,0.38,8.9,"Little"
"Low",5.9,0.29,0.33,7.4,58,205,0.99495,3.26,0.41,9.6,"Little"
"Low",6.2,0.28,0.43,13,64,233,0.99745,3.08,0.38,8.9,"Little"
"Low",6.1,0.27,0.44,6.7,61,230,0.99505,3.12,0.4,8.9,"Little"
"Low",6.4,0.43,0.32,1.4,10,67,0.992,3.08,0.41,11.4,"Little"
"Low",6.1,0.36,0.58,15,42,115,0.9978,3.15,0.51,9,"Little"
"High",7.7,0.24,0.29,15.3,39,194,0.9982,3.06,0.47,9.6,"Little"
"Low",6.2,0.34,0.28,7.5,40,197,0.99485,3.14,0.6,9.7,"Little"
"High",5.4,0.415,0.19,1.6,27,88,0.99265,3.54,0.41,10,"Little"
"High",6.9,0.48,0.36,3.5,31,135,0.9904,3.14,0.38,12.2,"Little"
"High",6.5,0.18,0.33,8,16,131,0.9965,3.28,0.44,8.7,"Lots"
"High",6.7,0.15,0.29,5,28,105,0.9946,3.52,0.44,10.2,"Lots"
"Low",8.2,0.345,1,18.2,55,205,0.99965,2.96,0.43,9.6,"Little"
"Low",8.5,0.16,0.35,1.6,24,147,0.9935,2.96,0.36,10,"Little"
"Low",6.8,0.705,0.25,3.2,10,57,0.996,3.36,0.52,9.5,"Little"
"Low",7.3,0.25,0.39,6.4,8,84,0.9942,3.18,0.46,11.5,"Little"
"Low",7.6,0.345,0.26,1.9,15,134,0.9936,3.08,0.38,9.5,"Little"
"Low",8.2,0.23,0.37,1.3,39,117,0.9928,2.99,0.36,10,"Little"
"Low",7.6,0.345,0.26,1.9,15,134,0.9936,3.08,0.38,9.5,"Little"
"Low",7.5,0.32,0.26,1.8,13,133,0.9938,3.07,0.38,9.5,"Little"
"High",6.6,0.23,0.32,0.9,25,79,0.9926,3.39,0.54,10.2,"Little"
"High",6.6,0.2,0.32,1.1,25,78,0.9926,3.39,0.54,10.2,"Little"
"High",8,0.42,0.36,5,34,101,0.992,3.13,0.57,12.3,"Little"
"Low",8.3,0.23,0.43,3.2,14,101,0.9928,3.15,0.36,11.5,"Little"
"High",6.5,0.08,0.33,1.9,23,93,0.991,3.34,0.7,12,"Little"
"High",5.5,0.42,0.09,1.6,18,68,0.9906,3.33,0.51,11.4,"Little"
"High",5.1,0.42,0.01,1.5,25,102,0.9894,3.38,0.36,12.3,"Little"
"High",6,0.27,0.19,1.7,24,110,0.9898,3.32,0.47,12.6,"Little"
"High",6.5,0.08,0.33,1.9,23,93,0.991,3.34,0.7,12,"Little"
"Low",7.6,0.3,0.25,4.3,22,111,0.9956,3.12,0.49,9.2,"Lots"
"Low",6.5,0.14,0.33,7.6,53,189,0.9966,3.25,0.49,8.6,"Lots"
"High",7.7,0.28,0.33,6.7,32,155,0.9951,3.39,0.62,10.7,"Little"
"Low",6,0.2,0.71,1.6,10,54,0.9927,3.12,0.47,9.8,"Lots"
"High",7.7,0.28,0.33,6.7,32,155,0.9951,3.39,0.62,10.7,"Little"
"Low",6.9,0.19,0.33,1.6,63,149,0.9925,3.44,0.52,10.8,"Little"
"Low",6.9,0.19,0.33,1.6,63,149,0.9925,3.44,0.52,10.8,"Little"
"High",7.7,0.28,0.39,8.9,8,117,0.9935,3.06,0.38,12,"Little"
"Low",8.2,0.26,0.44,1.3,7,69,0.9944,3.14,0.62,10.2,"Little"
"Low",6.5,0.25,0.27,15.2,75,217,0.9972,3.19,0.39,9.9,"Little"
"Low",7,0.24,0.18,1.3,9,62,0.994,3.38,0.47,10.1,"Little"
"Low",6,0.26,0.34,1.3,6,29,0.9924,3.29,0.63,10.4,"Little"
"High",7.6,0.21,0.6,2.1,47,165,0.9936,3.05,0.54,10.1,"Little"
"High",8,0.19,0.36,1.8,16,84,0.9936,3.15,0.45,9.8,"Lots"
"Low",6.4,0.28,0.41,6.8,61,216,0.9952,3.09,0.46,9.4,"Little"
"High",6.9,0.24,0.39,1.3,18,136,0.9928,3.31,0.48,10.4,"Lots"
"Low",5.1,0.52,0.06,2.7,30,79,0.9932,3.32,0.43,9.3,"Lots"
"High",6.6,0.22,0.37,1.2,45,199,0.993,3.37,0.55,10.3,"Lots"
"High",7.7,0.16,0.41,1.7,60,173,0.9932,3.24,0.66,11.2,"Little"
"Low",6.2,0.25,0.47,11.6,62,210,0.9968,3.19,0.5,9.5,"Little"
"Low",6.1,0.16,0.27,12.6,63,162,0.9994,3.66,0.43,8.9,"Lots"
"Low",7.6,0.39,0.22,2.8,19,113,0.9926,3.03,0.29,10.2,"Little"
"Low",6.8,0.37,0.47,11.2,44,136,0.9968,2.98,0.88,9.2,"Lots"
"High",8.6,0.2,0.42,1.5,35,125,0.9925,3.11,0.49,11.4,"Little"
"High",8.6,0.2,0.42,1.5,35,125,0.9925,3.11,0.49,11.4,"Little"
"High",6.8,0.19,0.32,7.05,54,188,0.9935,3.25,0.37,11.1,"Little"
"Low",8,0.55,0.17,8.2,13,60,0.9956,3.09,0.3,9.5,"Little"
"High",7,0.24,0.35,1.5,51,128,0.9941,3.41,0.59,10.4,"Lots"
"Low",6.3,0.6,0.44,11,50,245,0.9972,3.19,0.57,9.3,"Lots"
"Low",7.9,0.64,0.46,10.6,33,227,0.9983,2.87,0.74,9.1,"Lots"
"Low",7.5,0.17,0.37,1.5,18,75,0.9936,3.54,0.88,10.7,"Lots"
"Low",7.1,0.47,0.24,6,11,77,0.9956,3.21,0.56,9.7,"Little"
"High",7.1,0.15,0.34,5.3,33,104,0.9953,3.37,0.52,9.3,"Little"
"Low",7.5,0.17,0.34,1.4,13,102,0.9918,3.05,0.74,11,"Little"
"Low",8.2,0.68,0.3,2.1,17,138,0.995,3.22,0.71,10.8,"Little"
"Low",7.7,0.275,0.3,1,19,75,0.992,3.01,0.56,10.7,"Little"
"Low",7.3,0.49,0.32,5.2,18,104,0.9952,3.24,0.45,10.7,"Little"
"Low",7.5,0.33,0.48,19.45,55,243,1.001,2.95,0.4,8.8,"Little"
"High",7.2,0.21,0.37,1.6,23,94,0.9924,3.16,0.48,10.9,"Little"
"Low",7.3,0.15,0.4,2,24,92,0.9932,3.14,0.45,10.5,"Lots"
"Low",6.5,0.19,0.1,1.3,23,107,0.9937,3.29,0.45,10,"Little"
"Low",7,0.31,0.52,1.7,5,61,0.9918,3.07,0.43,10.4,"Little"
"Low",8.3,0.4,0.38,1.1,15,75,0.9934,3.03,0.43,9.2,"Little"
